,Return,Volatility,Sharpe,Weights
122,0.15635522570668026,0.22227285822082762,0.5684689832041778,"[0.20110336 0.2063317  0.18269417 0.22137666 0.01480741 0.1077991
 0.0658876 ]"
123,0.3528097578750111,0.2757206128286659,1.1707857260407535,"[0.22683058 0.15125853 0.07001583 0.02361743 0.27339693 0.06708943
 0.18779129]"
124,0.2319724819624314,0.24334113855427306,0.8299972752752816,"[0.27023966 0.11237221 0.11025915 0.13068238 0.21539089 0.15838689
 0.00266883]"
125,0.2971527574720591,0.24534769183954255,1.0888741421165564,"[0.23657625 0.09138977 0.24869022 0.03943753 0.20800979 0.16467725
 0.0112192 ]"
126,0.2546277782439376,0.2207488736869578,1.0175715712256836,"[0.11355576 0.12278834 0.13344898 0.18262401 0.10923465 0.15557827
 0.18277001]"
127,0.12171132820683767,0.21885421242551867,0.4190521497869237,"[0.10688354 0.18020575 0.0114434  0.31612045 0.09967726 0.21843853
 0.06723106]"
128,0.2280185663515979,0.22244792882216943,0.8901794114248598,"[0.01385039 0.2093887  0.09802175 0.16925305 0.06529171 0.22097671
 0.2232177 ]"
129,0.2802881113985962,0.23523089566197156,1.0640103660458868,"[0.18429674 0.15439961 0.15387482 0.05956988 0.15624421 0.1657747
 0.12584004]"
130,0.2736662539464953,0.245291912960804,0.9933725535640938,"[0.06511027 0.15588003 0.02714827 0.25102876 0.18190978 0.06888148
 0.25004142]"
131,0.3264211677955289,0.2692690785417003,1.1008362690617062,"[0.0298804  0.25315561 0.22790239 0.07353625 0.25596037 0.0734625
 0.08610248]"
132,0.251613599735423,0.24324583266820252,0.9110684335452244,"[0.19775803 0.17368747 0.05971349 0.179165   0.16169488 0.0584795
 0.16950163]"
133,0.20798605353939326,0.21878049065503413,0.8135371348994541,"[0.02103424 0.14536207 0.06040579 0.2875409  0.0197001  0.17770139
 0.2882555 ]"
134,0.16881443096316726,0.2201196924212215,0.6306315870073618,"[0.18021711 0.15919394 0.00540197 0.23297835 0.08292734 0.19075186
 0.14852943]"
135,0.32074181367677823,0.22744645309194755,1.2782868658727462,"[0.22082844 0.03604415 0.14133301 0.08325441 0.11562795 0.15382205
 0.24909   ]"
136,0.24652130197548322,0.22037607416322746,0.9825082091947555,"[0.15236936 0.07320893 0.15242767 0.21775904 0.13833292 0.14595913
 0.11994294]"
137,0.23024622817641927,0.24096670769254688,0.8310120103060731,"[0.20849874 0.19721293 0.11689215 0.18656865 0.13936474 0.03895536
 0.11250744]"
138,0.18902635201379478,0.21719309972177483,0.7321887860042889,"[0.22468444 0.13226202 0.0765756  0.17693779 0.08912326 0.1969324
 0.10348449]"
139,0.16370572737980651,0.22106948069985682,0.6048131427120736,"[0.07610313 0.22786937 0.09840597 0.24874379 0.0272647  0.16629699
 0.15531603]"
140,0.27258004041573913,0.21405314126960012,1.1332701728969694,"[0.07758784 0.04484487 0.30088605 0.1983791  0.10322777 0.17630648
 0.09876788]"
141,0.26391939954455773,0.21963697030253707,1.0650274369672257,"[0.02773361 0.07598949 0.25664305 0.19613998 0.16447646 0.22312296
 0.05589444]"
142,0.3305434229249281,0.26095499673820055,1.1517059519134023,"[0.15482114 0.15443401 0.13220701 0.10699484 0.24154306 0.0446287
 0.16537125]"
143,0.41427117744240327,0.2827669454114198,1.3589678131695946,"[0.30567465 0.01120845 0.02937501 0.01395526 0.27280726 0.05469519
 0.31228418]"
144,0.2782526376976264,0.2549243961762591,0.9738284817824194,"[0.20234521 0.18924495 0.06641505 0.00580656 0.23192071 0.21428786
 0.08997966]"
145,0.29075455151585666,0.244506040585015,1.0664544356121626,"[0.12524596 0.07749702 0.06257326 0.22725491 0.22533931 0.09628412
 0.18580542]"
146,0.20780443240853474,0.21900885553878427,0.8118595568709658,"[0.08906123 0.17003821 0.15256711 0.23556191 0.07451964 0.14047456
 0.13777733]"
147,0.3558187637416991,0.23364197830532957,1.3945215072434902,"[0.06848969 0.09024927 0.20155318 0.01062302 0.16789125 0.24232495
 0.21886865]"
148,0.28986422257730937,0.24993908856058225,1.0397102112914258,"[0.01162187 0.1232843  0.01752772 0.26403824 0.23213607 0.11134992
 0.24004189]"
149,0.21975439561891066,0.21539778585517338,0.8809486822974841,"[0.21523815 0.09266006 0.26787319 0.19042905 0.02079631 0.11603878
 0.09696445]"
150,0.26829315672230064,0.24562345467349508,0.9701563600229525,"[0.25601744 0.05914934 0.16400793 0.15695144 0.22825949 0.11223574
 0.02337861]"
151,0.239520973043496,0.23782296171092154,0.8809955587811275,"[0.15541877 0.18452729 0.11545827 0.19566972 0.15250876 0.07158051
 0.12483668]"
