Date,AAPL,META,GOOGL,MSFT,GFS,V,C
2025-08-22,0.25623827362430435,0.41300726679534394,0.20154851541399724,0.18439952287117045,0.4318709363112474,0.1603890833521593,0.2612097037494884
2025-08-25,0.25297562520613714,0.41307824023196216,0.2024167996839789,0.18526871486406232,0.42937824613305225,0.15931210544983074,0.2612919205590787
2025-08-26,0.2536560452903714,0.41016348438601863,0.2049136459854506,0.185013234671705,0.4309533726979015,0.15765802014116806,0.2415130426647715
2025-08-27,0.2536639120539353,0.4097502006670763,0.20504735493376036,0.18704183714004444,0.4319601046510989,0.15609766316714568,0.24130031508978042
2025-08-28,0.2539131282433956,0.4095922395259995,0.21004047210911275,0.18445214665009765,0.4300685294958782,0.15615847366269406,0.22236363123375713
2025-08-29,0.25430984331157563,0.4132772646771676,0.20985029499830513,0.1849886968078251,0.4299839048485189,0.15676253832765516,0.2225836676148492
2025-09-02,0.2572263685750273,0.41250960751161125,0.20143534524891565,0.18519173432473218,0.4284507195787681,0.15671555095147724,0.22827087555018352
2025-09-03,0.27644468421089174,0.41073466688102056,0.32454211015982604,0.18313474043135228,0.42909655259554186,0.1566701072522138,0.22473326536820631
2025-09-04,0.276092278233976,0.41158670786380874,0.3224596577230414,0.18370199717521737,0.42993136376729507,0.15393857589137472,0.22505452188395952
2025-09-05,0.2758610034088141,0.4116879985174061,0.32261369910165705,0.19584102865328207,0.427194267578282,0.16625496732650447,0.2302386647307967
2025-09-08,0.27773679938095225,0.4114746790801814,0.32391984273978297,0.196124490226656,0.42121524139099525,0.163803109908144,0.22976104258668895
2025-09-09,0.2828246207643277,0.41378185592947847,0.32630026995289074,0.19610974194388986,0.41806239454223854,0.16449915880888571,0.2331605195598991
2025-09-10,0.29754982005793024,0.4104408752454768,0.3262820512907753,0.19657545738314636,0.4181026320105824,0.16819625264772914,0.23047804234489197
2025-09-11,0.29675570368232707,0.4096469452816616,0.32621485439145015,0.1965730197469287,0.4187788824270063,0.17530038935896186,0.23202992143602133
2025-09-12,0.297788103678832,0.245286448847837,0.3136371368638312,0.16566377627646953,0.3970921532959192,0.1728872417062789,0.22151308994476612
2025-09-15,0.28513941175265556,0.2311335789297897,0.3240396112028505,0.16188081151811337,0.3991467103776411,0.165015614009363,0.2112299685449704
2025-09-16,0.2851398186562971,0.2141569528471077,0.31913280462504834,0.15064888892678352,0.39865852401665247,0.16343327515296627,0.21103748143965134
2025-09-17,0.2843031090795143,0.20863011146050892,0.32072951211984363,0.1456847300159621,0.29492381751049557,0.16636210853070585,0.21045875819584497
2025-09-18,0.2511308258204016,0.20684982634910856,0.32073554227940715,0.14525594342176243,0.3065981501392501,0.17937734259771093,0.21026235673537633
2025-09-19,0.2513634523076532,0.20301828040660574,0.3202000672546301,0.1543774005892014,0.29264690545723293,0.1684457725563033,0.20581015624739693
2025-09-22,0.2523535578163724,0.20702421411545885,0.32036033845956424,0.1553752556197642,0.2934268426992847,0.16524131481282248,0.20279860839742184
2025-09-23,0.251617884007194,0.2099268177010034,0.3207484702265611,0.15793096886783306,0.28639047591313954,0.172460185006032,0.20287229760590939
2025-09-24,0.25314770611062476,0.18852065409849078,0.32898819369764437,0.15162531070377444,0.2641832767357957,0.17207144510472738,0.18216904730195857
2025-09-25,0.2541128370318233,0.19021601109340758,0.3285367615301919,0.14545971644614392,0.25969762087664644,0.16726325242333379,0.1777460737733306
2025-09-26,0.2548830766158595,0.19052271742765423,0.32867086312357735,0.1475394916372409,0.354400091098839,0.16667900043675773,0.1794151494759898
2025-09-29,0.25459499562445775,0.18983303624721315,0.3322487312096165,0.1483438234337201,0.3706944454502322,0.16854702215513687,0.16858529478717266
2025-09-30,0.25401650980061136,0.18195372999898185,0.33270989316809063,0.14860461634439825,0.3818274083005997,0.16832657152649302,0.1774588575344405
2025-10-01,0.25360703448857774,0.1843854937211448,0.32938518755865237,0.1424841922659805,0.39561296192563206,0.17704094291037742,0.19666380322556123
2025-10-02,0.24389844942646266,0.18906034031563682,0.3252022818089573,0.1423248469630968,0.4069384476206236,0.1774983787107525,0.20063718426325994
2025-10-03,0.24231622826464363,0.19712842472297262,0.3258427785956111,0.1423506002806272,0.40424112683564206,0.1802934624268712,0.19939440531937963
2025-10-06,0.2427148796146351,0.18718298308558384,0.32011205700666084,0.15404011245359575,0.3697468855261362,0.17225871925392502,0.18239596203000918
2025-10-07,0.2423333796372907,0.18726468657176973,0.3280171505495822,0.1554130550130082,0.379968492804053,0.17386216809500238,0.18236455551780928
2025-10-08,0.24189441922708588,0.18869513714928338,0.32746629637043784,0.15446162372887523,0.3838406976576346,0.17305859061473186,0.18464089127527933
2025-10-09,0.2484512450880804,0.1990254217601695,0.3316229419998584,0.15362838205736634,0.38732747534543804,0.1766314181744086,0.18283317092717272
2025-10-10,0.27088631501088056,0.2265032229732231,0.3367700758015457,0.1666502596235245,0.4343067868454964,0.17875471625855555,0.19223525004505665
2025-10-13,0.27157512735461514,0.22717932246910247,0.3464601039160721,0.16652224311892252,0.452161899201513,0.17784192706181318,0.2043577815458197
2025-10-14,0.2689641260485364,0.22838641648662375,0.34453873124819834,0.1662298164548824,0.45512988165477003,0.18294875340579797,0.22597334925155782
2025-10-15,0.24750884745298316,0.23158424016905094,0.23570245784600027,0.16624894868945983,0.45523930661313095,0.18411165128345627,0.2260680397209994
2025-10-16,0.2486215040895157,0.22697061862207546,0.23539560256603734,0.1660739530783667,0.4579336332822174,0.20275031151500617,0.24216789275739994
2025-10-17,0.25419673279706895,0.22746574544690137,0.23431839069520533,0.14712448898259553,0.45787061409061525,0.20158954754601205,0.2377870818636151
2025-10-20,0.27477285810894025,0.23684207604821073,0.23545324920226973,0.1470600002121209,0.4626230448101049,0.20255290453402033,0.24618690433744553
2025-10-21,0.2693394071547489,0.2303489755247277,0.2394681910577754,0.1470427076725605,0.45582234091810314,0.20339979380658907,0.2447906013938676
2025-10-22,0.2543377437701018,0.22492319400893682,0.23941820489955823,0.14737153787776988,0.4649862303252708,0.19740387056279174,0.251709702867682
2025-10-23,0.25263638262131993,0.22495433873937706,0.23948148154447732,0.1474213049714213,0.4671369142512796,0.19218963914757303,0.24679192925385296
2025-10-24,0.25071548521517306,0.22487473313711945,0.2503691993393989,0.13973821681900364,0.46367502355391654,0.18897090638265054,0.2543983094408605
2025-10-27,0.25580321317049115,0.2276569051448129,0.2383439746121214,0.1429595847659327,0.46195871741910755,0.18888233634906923,0.26246817477302425
2025-10-28,0.25596279877580397,0.2203423087710799,0.2395062349175786,0.14716953504000962,0.46711145699793644,0.18906189132274936,0.26159398697605807
2025-10-29,0.2559977427326203,0.2201741408178132,0.24806472366321677,0.14744318472415113,0.46819901794614915,0.18778030204402796,0.2675932829503592
2025-10-30,0.2546879869742952,0.3921407530081768,0.2554010721206365,0.17254986653630935,0.4799271700095725,0.1776291994419336,0.26902762579923684
2025-10-31,0.24191274890806785,0.39731078962536814,0.2549221240534754,0.1705815869045621,0.4803722944976351,0.17927675647328917,0.27066062888599657
2025-11-03,0.21142974243658447,0.39733179933440044,0.2528032581999438,0.16944982015494653,0.4801382879413525,0.18045720002238003,0.27120155588138173
2025-11-04,0.21005890092869928,0.39800655378169103,0.26288809871556706,0.167420162070529,0.49218294994960804,0.1766524082210798,0.27139001915298583
2025-11-05,0.20781582042898725,0.40038758307716965,0.2616393666235972,0.17240577750781452,0.5015975062172513,0.17667379860912769,0.2693450569060705
2025-11-06,0.20261728769137535,0.4041181357094059,0.2600311656008993,0.18091493822240035,0.5117822028483177,0.17565101694917035,0.27017082793051267
2025-11-07,0.2024194875232661,0.40524246431085487,0.27058684843115555,0.17874066397859248,0.450175645244717,0.1745737615128326,0.2673858750703079
2025-11-10,0.20182180498207672,0.40992228130224156,0.28645382493581556,0.18638056190848565,0.43587569702159296,0.1730078877073879,0.268178146578076
2025-11-11,0.20958194445378095,0.40944324971677093,0.2849996083565709,0.18601704211096298,0.42672140121320884,0.17649917329233106,0.26481732737483504
2025-11-12,0.21125300770606922,0.411937630658903,0.29199318739639385,0.18632772547575815,0.4161277669118759,0.1671600312719019,0.258106923998083
2025-11-13,0.21122289810034764,0.4086619376629762,0.3080066919849645,0.1902049297871863,0.41953551982294873,0.16805452287793776,0.26291744308671167
2025-11-14,0.21150863558497324,0.40558671492286613,0.3095911880410102,0.19448958779128567,0.4209614692519591,0.1711466498862482,0.26320184579890654
2025-11-17,0.21854404116145407,0.40451682478086015,0.31585663180415363,0.1832654540619813,0.4205826017254602,0.1741486896708179,0.27086098556090077
2025-11-18,0.21848630464418828,0.40451022154813426,0.3089802668454703,0.19686448601711753,0.4132571614853906,0.174077565958379,0.27072876012647556
2025-11-19,0.21819683806005546,0.4032731925561187,0.3157829030520297,0.199372364031212,0.4036250888904432,0.1775848701851036,0.27166339004757584
2025-11-20,0.2143680963044286,0.3947217621153865,0.31520059033027,0.20315910345794586,0.4054630811658904,0.1752011040796409,0.2788184223872634
2025-11-21,0.19111238633803335,0.3855677475994846,0.31550528909491987,0.1975285118934209,0.39037097810524063,0.17902636331758173,0.27246296765049455
2025-11-24,0.19390984890263446,0.39619527079261585,0.3472822304801154,0.19684190409127061,0.373320273830595,0.17972162397242963,0.26622526341525216
2025-11-25,0.19366215290818664,0.4145863151711604,0.3475273648140282,0.19847502242440349,0.3679751301520026,0.18058908442335528,0.24518079631001838
2025-11-26,0.19357420734114678,0.4118717840078269,0.3499814818439316,0.20686605536526773,0.3723210514931297,0.17956926337474408,0.24774391624580192
2025-11-28,0.19061436292776654,0.4187058511822946,0.35015715162926114,0.2113521289095322,0.37207244037580556,0.1576704219374188,0.22356199628291892
2025-12-01,0.1879617596745744,0.4183280666669501,0.3574889874194873,0.21256679422090566,0.37206129851146863,0.15034575612885306,0.22536421868294884
2025-12-02,0.1567484404025575,0.413727825937933,0.3573642263506115,0.21271499496242666,0.3765911431097031,0.14824958303761535,0.21680108448021002
2025-12-03,0.15946275218293765,0.41401956286368724,0.34530053170115105,0.22295953794769996,0.3829595092128077,0.14557585854965147,0.2332314820361296
2025-12-04,0.15541643475729547,0.4286956919508582,0.34779696018081757,0.22327416277214882,0.3733058128695584,0.14623063015335958,0.2236036182706668
2025-12-05,0.1578314141186808,0.43290928192354317,0.3478556386049629,0.22417296163359832,0.3826883087336625,0.15178153733440364,0.22429071054370064
2025-12-08,0.15570752157665432,0.43265295846787355,0.35439799904994473,0.22944231262967177,0.3876021088312084,0.15470153226703554,0.21838087072123435
2025-12-09,0.14302380789905486,0.4297180328582229,0.3435711099249812,0.22404974085279997,0.3877016887935775,0.15443314898293226,0.2110279784286792
2025-12-10,0.14365675569103867,0.42983745043036553,0.34172763549499235,0.22506422944392107,0.3800130179439368,0.1544248883604132,0.2139683769173109
2025-12-11,0.1440463568493861,0.43032008255109133,0.34722744779351356,0.22869466725258658,0.3808753804959121,0.23438426097680098,0.1996384548202874
2025-12-12,0.14319465657977368,0.2821783174044412,0.3440579153863913,0.21657787094245326,0.3710214218964737,0.2329811345565115,0.19884842748441964
2025-12-15,0.14990253095571263,0.271570794912872,0.3444010453076131,0.2140264264366351,0.3874215077929924,0.22999761951823477,0.1985707145543597
2025-12-16,0.14905495458864504,0.2701572621093534,0.3448530322876399,0.21471985257138015,0.3878232520681975,0.22788572556853265,0.20395268039284445
2025-12-17,0.15201995786888242,0.26787158597646415,0.3524904893667617,0.21464486843763594,0.37929771888291053,0.22637048713943278,0.20221989009292965
2025-12-18,0.15204699385260856,0.27290440203731303,0.35005968874440824,0.21854829621881022,0.36615158233052003,0.22663788911354066,0.20366096419748875
2025-12-19,0.15266502681854757,0.26131029417175694,0.35213448741634606,0.211898545984799,0.3524267111214446,0.2260037574922803,0.20464150737813372
2025-12-22,0.15489347571943177,0.2612873976239073,0.3452632192327508,0.21194001063315843,0.35138391744508585,0.22647875504415654,0.21517268211820853
2025-12-23,0.1550382342123946,0.2581181679893445,0.3292250394753191,0.20460328758187088,0.3535300619178457,0.22599879853252183,0.21576945154207197
2025-12-24,0.1423611493986626,0.25666734579348327,0.3293769498028416,0.20398300132459318,0.3533761260600811,0.22413514180802924,0.21526620380445863
2025-12-26,0.14116436609238178,0.24082666220926163,0.325010155388869,0.20318192660812495,0.34849981096089006,0.22421807295925852,0.2153606255175201
2025-12-29,0.14108991203686277,0.24251181102823646,0.31112876319048827,0.19884080570125698,0.3223453345234694,0.22242160682144788,0.2128995247536318
2025-12-30,0.14116341414457503,0.2434575367864198,0.30925274673527914,0.19404332011173386,0.3219431354894708,0.21482031542457328,0.21475392426369208
2025-12-31,0.13095138522092245,0.24178119269164527,0.299255400923184,0.1946548914177869,0.33837333884758153,0.2123190688199548,0.202082177464547
2026-01-02,0.13138133294244525,0.2455225804052355,0.29888716181037644,0.18951009957594062,0.37185401688273345,0.21105665262816137,0.20423212738625238
2026-01-05,0.13721207129345772,0.24273407119694254,0.2882799061704951,0.18595607395674368,0.37192509428798154,0.2170481260208712,0.22351587213327906
2026-01-06,0.14510870189207248,0.24213946005282375,0.2866292144575684,0.1838260436690387,0.3988336418890478,0.21778077218022526,0.2100012784103095
2026-01-07,0.1333371436481083,0.24989447012350816,0.2774913411616858,0.18172626682045992,0.3796809408267892,0.2170419868228667,0.21533944040696168
2026-01-08,0.12265008661221109,0.23543462717730199,0.21190728216236362,0.18469726009437396,0.40190614327963103,0.22027180639875782,0.21854533330367018
