,Date,Portfolio,Benchmark,Beta
471,2025-08-28,Max Sharpe Portfolio,VOO,1.4742129669987851
472,2025-08-29,Max Sharpe Portfolio,VOO,1.4547976926393815
473,2025-09-02,Max Sharpe Portfolio,VOO,1.4130703749014022
474,2025-09-03,Max Sharpe Portfolio,VOO,1.4193764675023082
475,2025-09-04,Max Sharpe Portfolio,VOO,1.5248741663423127
476,2025-09-05,Max Sharpe Portfolio,VOO,1.5589096900040864
477,2025-09-08,Max Sharpe Portfolio,VOO,1.5625641681133102
478,2025-09-09,Max Sharpe Portfolio,VOO,1.555932615570017
479,2025-09-10,Max Sharpe Portfolio,VOO,1.5651503173506665
480,2025-09-11,Max Sharpe Portfolio,VOO,1.5535212883762397
481,2025-09-12,Max Sharpe Portfolio,VOO,1.547419799313606
482,2025-09-15,Max Sharpe Portfolio,VOO,1.4903039876168365
483,2025-09-16,Max Sharpe Portfolio,VOO,1.6134349770751888
484,2025-09-17,Max Sharpe Portfolio,VOO,1.746119375730406
485,2025-09-18,Max Sharpe Portfolio,VOO,1.6964957264244465
486,2025-09-19,Max Sharpe Portfolio,VOO,1.7232883029549984
487,2025-09-22,Max Sharpe Portfolio,VOO,1.6857598933299118
488,2025-09-23,Max Sharpe Portfolio,VOO,1.6192517288441863
489,2025-09-24,Max Sharpe Portfolio,VOO,1.596548573105253
490,2025-09-25,Max Sharpe Portfolio,VOO,1.6015597565430213
491,2025-09-26,Max Sharpe Portfolio,VOO,1.6160070631929566
492,2025-09-29,Max Sharpe Portfolio,VOO,1.6206520454221733
493,2025-09-30,Max Sharpe Portfolio,VOO,1.5835916067801536
494,2025-10-01,Max Sharpe Portfolio,VOO,1.5283360147835905
495,2025-10-02,Max Sharpe Portfolio,VOO,1.4759931040883558
496,2025-10-03,Max Sharpe Portfolio,VOO,1.44956280066086
497,2025-10-06,Max Sharpe Portfolio,VOO,1.461422543339007
498,2025-10-07,Max Sharpe Portfolio,VOO,1.299509576442514
499,2025-10-08,Max Sharpe Portfolio,VOO,1.4457601929711306
500,2025-10-09,Max Sharpe Portfolio,VOO,1.3667960523759168
501,2025-10-10,Max Sharpe Portfolio,VOO,1.4184287501676263
502,2025-10-13,Max Sharpe Portfolio,VOO,1.1152002473787828
503,2025-10-14,Max Sharpe Portfolio,VOO,1.2181886294151791
504,2025-10-15,Max Sharpe Portfolio,VOO,1.1603837388294773
505,2025-10-16,Max Sharpe Portfolio,VOO,1.0766111575603372
506,2025-10-17,Max Sharpe Portfolio,VOO,1.1179545843654661
507,2025-10-20,Max Sharpe Portfolio,VOO,1.1214340783844319
508,2025-10-21,Max Sharpe Portfolio,VOO,1.1626736317325237
509,2025-10-22,Max Sharpe Portfolio,VOO,1.1650609316633647
510,2025-10-23,Max Sharpe Portfolio,VOO,1.1851860818898718
511,2025-10-24,Max Sharpe Portfolio,VOO,1.1747216574393378
512,2025-10-27,Max Sharpe Portfolio,VOO,1.2260605907227717
513,2025-10-28,Max Sharpe Portfolio,VOO,1.2543513015341836
514,2025-10-29,Max Sharpe Portfolio,VOO,1.257830531786966
515,2025-10-30,Max Sharpe Portfolio,VOO,1.266752799685557
516,2025-10-31,Max Sharpe Portfolio,VOO,1.0695819841161756
517,2025-11-03,Max Sharpe Portfolio,VOO,1.064029628539625
518,2025-11-04,Max Sharpe Portfolio,VOO,1.0754040414496826
